team_long_name,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
FC Aarau,9930,2014-09-19,52.0,Balanced,48.0,Normal,56.0,Mixed,Organised,54.0,Normal,63.0,Normal,64.0,Normal,Organised,47.0,Medium,44.0,Press,54.0,Normal,Cover
FC Aarau,9930,2015-09-10,47.0,Balanced,41.0,Normal,54.0,Mixed,Organised,54.0,Normal,63.0,Normal,64.0,Normal,Organised,47.0,Medium,44.0,Press,54.0,Normal,Cover
Aberdeen,8485,2014-09-19,58.0,Balanced,64.0,Normal,62.0,Mixed,Organised,56.0,Normal,68.0,Lots,57.0,Normal,Organised,41.0,Medium,42.0,Press,60.0,Normal,Cover
Aberdeen,8485,2015-09-10,59.0,Balanced,64.0,Normal,53.0,Mixed,Organised,51.0,Normal,72.0,Lots,63.0,Normal,Free Form,49.0,Medium,45.0,Press,63.0,Normal,Cover
AC Ajaccio,8576,2014-09-19,59.0,Balanced,57.0,Normal,52.0,Mixed,Organised,48.0,Normal,38.0,Normal,52.0,Normal,Organised,38.0,Medium,47.0,Press,53.0,Normal,Cover
AC Ajaccio,8576,2015-09-10,59.0,Balanced,57.0,Normal,52.0,Mixed,Organised,48.0,Normal,38.0,Normal,52.0,Normal,Organised,38.0,Medium,47.0,Press,53.0,Normal,Cover
Milan,8564,2014-09-19,48.0,Balanced,70.0,Lots,52.0,Mixed,Organised,66.0,Normal,36.0,Normal,75.0,Lots,Organised,58.0,Medium,57.0,Press,49.0,Normal,Cover
Milan,8564,2015-09-10,48.0,Balanced,70.0,Lots,52.0,Mixed,Organised,66.0,Normal,36.0,Normal,69.0,Lots,Organised,58.0,Medium,57.0,Press,49.0,Normal,Cover
Académica de Coimbra,10215,2014-09-19,52.0,Balanced,53.0,Normal,44.0,Mixed,Organised,55.0,Normal,51.0,Normal,60.0,Normal,Organised,39.0,Medium,38.0,Press,61.0,Normal,Cover
Académica de Coimbra,10215,2015-09-10,53.0,Balanced,53.0,Normal,44.0,Mixed,Organised,55.0,Normal,51.0,Normal,60.0,Normal,Organised,39.0,Medium,38.0,Press,61.0,Normal,Cover
ADO Den Haag,10217,2014-09-19,58.0,Balanced,47.0,Normal,55.0,Mixed,Organised,55.0,Normal,52.0,Normal,44.0,Normal,Organised,57.0,Medium,50.0,Press,52.0,Normal,Cover
ADO Den Haag,10217,2015-09-10,56.0,Balanced,40.0,Normal,66.0,Mixed,Organised,55.0,Normal,52.0,Normal,38.0,Normal,Organised,40.0,Medium,50.0,Press,52.0,Normal,Cover
Ajax,8593,2014-09-19,40.0,Balanced,40.0,Normal,30.0,Short,Organised,51.0,Normal,55.0,Normal,39.0,Normal,Free Form,64.0,Medium,53.0,Press,64.0,Normal,Cover
Ajax,8593,2015-09-10,35.0,Balanced,43.0,Normal,39.0,Mixed,Organised,58.0,Normal,55.0,Normal,30.0,Little,Free Form,64.0,Medium,53.0,Press,59.0,Normal,Cover
UD Almería,9865,2014-09-19,46.0,Balanced,41.0,Normal,65.0,Mixed,Organised,57.0,Normal,54.0,Normal,40.0,Normal,Organised,37.0,Medium,53.0,Press,45.0,Normal,Cover
UD Almería,9865,2015-09-10,46.0,Balanced,41.0,Normal,65.0,Mixed,Organised,57.0,Normal,54.0,Normal,40.0,Normal,Organised,37.0,Medium,53.0,Press,45.0,Normal,Cover
RSC Anderlecht,8635,2014-09-19,52.0,Balanced,46.0,Normal,51.0,Mixed,Organised,60.0,Normal,53.0,Normal,47.0,Normal,Organised,60.0,Medium,50.0,Press,65.0,Normal,Cover
RSC Anderlecht,8635,2015-09-10,52.0,Balanced,46.0,Normal,51.0,Mixed,Organised,60.0,Normal,53.0,Normal,47.0,Normal,Organised,53.0,Medium,50.0,Press,61.0,Normal,Cover
Angers SCO,8121,2014-09-19,48.0,Balanced,61.0,Normal,50.0,Mixed,Organised,40.0,Normal,52.0,Normal,48.0,Normal,Organised,44.0,Medium,44.0,Press,51.0,Normal,Cover
Angers SCO,8121,2015-09-10,48.0,Balanced,61.0,Normal,50.0,Mixed,Organised,40.0,Normal,52.0,Normal,48.0,Normal,Organised,44.0,Medium,44.0,Press,51.0,Normal,Cover
AC Arles-Avignon,108893,2014-09-19,39.0,Balanced,48.0,Normal,54.0,Mixed,Organised,49.0,Normal,40.0,Normal,43.0,Normal,Organised,44.0,Medium,53.0,Press,57.0,Normal,Cover
AC Arles-Avignon,108893,2015-09-10,56.0,Balanced,46.0,Normal,54.0,Mixed,Organised,55.0,Normal,40.0,Normal,43.0,Normal,Organised,48.0,Medium,53.0,Press,57.0,Normal,Cover
DSC Arminia Bielefeld,9912,2014-09-19,62.0,Balanced,49.0,Normal,55.0,Mixed,Organised,56.0,Normal,51.0,Normal,52.0,Normal,Organised,36.0,Medium,54.0,Press,48.0,Normal,Cover
FC Arouca,158085,2014-09-19,69.0,Fast,66.0,Normal,39.0,Mixed,Organised,55.0,Normal,59.0,Normal,46.0,Normal,Organised,35.0,Medium,37.0,Press,37.0,Normal,Cover
FC Arouca,158085,2015-09-10,65.0,Balanced,66.0,Normal,39.0,Mixed,Organised,55.0,Normal,59.0,Normal,46.0,Normal,Organised,37.0,Medium,39.0,Press,37.0,Normal,Cover
Arsenal,9825,2014-09-19,59.0,Balanced,51.0,Normal,26.0,Short,Organised,28.0,Safe,55.0,Normal,64.0,Normal,Free Form,51.0,Medium,44.0,Press,52.0,Normal,Cover
Arsenal,9825,2015-09-10,59.0,Balanced,51.0,Normal,30.0,Short,Organised,28.0,Safe,44.0,Normal,46.0,Normal,Free Form,51.0,Medium,44.0,Press,52.0,Normal,Cover
Aston Villa,10252,2014-09-19,66.0,Balanced,32.0,Little,72.0,Long,Organised,63.0,Normal,48.0,Normal,56.0,Normal,Organised,39.0,Medium,42.0,Press,52.0,Normal,Cover
Aston Villa,10252,2015-09-10,63.0,Balanced,37.0,Normal,54.0,Mixed,Organised,60.0,Normal,48.0,Normal,38.0,Normal,Organised,35.0,Medium,44.0,Press,54.0,Normal,Cover
Atalanta,8524,2014-09-19,64.0,Balanced,45.0,Normal,37.0,Mixed,Organised,38.0,Normal,49.0,Normal,51.0,Normal,Organised,36.0,Medium,66.0,Press,49.0,Normal,Cover
Atalanta,8524,2015-09-10,64.0,Balanced,45.0,Normal,37.0,Mixed,Organised,38.0,Normal,49.0,Normal,51.0,Normal,Organised,36.0,Medium,63.0,Press,49.0,Normal,Cover
Athletic Club de Bilbao,8315,2014-09-19,46.0,Balanced,41.0,Normal,38.0,Mixed,Organised,52.0,Normal,68.0,Lots,37.0,Normal,Organised,37.0,Medium,60.0,Press,65.0,Normal,Cover
Athletic Club de Bilbao,8315,2015-09-10,46.0,Balanced,46.0,Normal,39.0,Mixed,Organised,50.0,Normal,60.0,Normal,36.0,Normal,Free Form,49.0,Medium,57.0,Press,50.0,Normal,Cover
Atlético Madrid,9906,2014-09-19,47.0,Balanced,52.0,Normal,51.0,Mixed,Organised,67.0,Risky,67.0,Lots,54.0,Normal,Organised,52.0,Medium,37.0,Press,55.0,Normal,Cover
Atlético Madrid,9906,2015-09-10,57.0,Balanced,50.0,Normal,50.0,Mixed,Organised,61.0,Normal,62.0,Normal,49.0,Normal,Organised,49.0,Medium,42.0,Press,52.0,Normal,Cover
FC Augsburg,8406,2014-09-19,62.0,Balanced,38.0,Normal,69.0,Long,Organised,41.0,Normal,63.0,Normal,56.0,Normal,Organised,47.0,Medium,55.0,Press,52.0,Normal,Cover
FC Augsburg,8406,2015-09-10,59.0,Balanced,51.0,Normal,55.0,Mixed,Organised,49.0,Normal,62.0,Normal,55.0,Normal,Organised,34.0,Medium,50.0,Press,59.0,Normal,Cover
AJ Auxerre,8583,2014-09-19,64.0,Balanced,55.0,Normal,49.0,Mixed,Organised,51.0,Normal,63.0,Normal,50.0,Normal,Organised,34.0,Medium,45.0,Press,36.0,Normal,Cover
AJ Auxerre,8583,2015-09-10,64.0,Balanced,55.0,Normal,49.0,Mixed,Organised,51.0,Normal,63.0,Normal,50.0,Normal,Organised,34.0,Medium,45.0,Press,40.0,Normal,Cover
AZ,10229,2014-09-19,52.0,Balanced,38.0,Normal,46.0,Mixed,Organised,60.0,Normal,56.0,Normal,52.0,Normal,Free Form,50.0,Medium,61.0,Press,55.0,Normal,Cover
AZ,10229,2015-09-10,50.0,Balanced,46.0,Normal,58.0,Mixed,Organised,67.0,Risky,56.0,Normal,50.0,Normal,Organised,50.0,Medium,61.0,Press,55.0,Normal,Cover
FC Barcelona,8634,2014-09-19,35.0,Balanced,35.0,Normal,32.0,Short,Free Form,37.0,Normal,31.0,Little,35.0,Normal,Free Form,61.0,Medium,63.0,Press,65.0,Normal,Cover
FC Barcelona,8634,2015-09-10,36.0,Balanced,35.0,Normal,51.0,Mixed,Free Form,36.0,Normal,49.0,Normal,56.0,Normal,Free Form,61.0,Medium,65.0,Press,65.0,Normal,Cover
Bari,9976,2014-09-19,55.0,Balanced,40.0,Normal,57.0,Mixed,Organised,54.0,Normal,44.0,Normal,56.0,Normal,Organised,49.0,Medium,51.0,Press,53.0,Normal,Cover
Bari,9976,2015-09-10,52.0,Balanced,40.0,Normal,65.0,Mixed,Organised,40.0,Normal,55.0,Normal,48.0,Normal,Organised,50.0,Medium,51.0,Press,55.0,Normal,Cover
FC Basel,9931,2014-09-19,61.0,Balanced,63.0,Normal,46.0,Mixed,Organised,66.0,Normal,66.0,Normal,54.0,Normal,Organised,47.0,Medium,58.0,Press,53.0,Normal,Cover
FC Basel,9931,2015-09-10,61.0,Balanced,63.0,Normal,46.0,Mixed,Organised,66.0,Normal,66.0,Normal,54.0,Normal,Organised,47.0,Medium,58.0,Press,53.0,Normal,Cover
Bayer 04 Leverkusen,8178,2014-09-19,69.0,Fast,30.0,Little,55.0,Mixed,Organised,52.0,Normal,55.0,Normal,39.0,Normal,Organised,50.0,Medium,46.0,Press,54.0,Normal,Cover
Bayer 04 Leverkusen,8178,2015-09-10,73.0,Fast,29.0,Little,55.0,Mixed,Organised,77.0,Risky,54.0,Normal,61.0,Normal,Organised,61.0,Medium,72.0,Double,50.0,Normal,Cover
FC Bayern Munich,9823,2014-09-19,37.0,Balanced,34.0,Normal,22.0,Short,Free Form,21.0,Safe,38.0,Normal,40.0,Normal,Free Form,61.0,Medium,59.0,Press,40.0,Normal,Cover
FC Bayern Munich,9823,2015-09-10,45.0,Balanced,24.0,Little,28.0,Short,Free Form,37.0,Normal,31.0,Little,22.0,Little,Free Form,72.0,High,53.0,Press,59.0,Normal,Cover
CF Os Belenenses,9807,2014-09-19,52.0,Balanced,53.0,Normal,52.0,Mixed,Organised,40.0,Normal,37.0,Normal,48.0,Normal,Organised,38.0,Medium,48.0,Press,49.0,Normal,Cover
CF Os Belenenses,9807,2015-09-10,51.0,Balanced,53.0,Normal,52.0,Mixed,Organised,43.0,Normal,37.0,Normal,48.0,Normal,Organised,38.0,Medium,48.0,Press,49.0,Normal,Cover
SL Benfica,9772,2014-09-19,70.0,Fast,55.0,Normal,53.0,Mixed,Organised,65.0,Normal,66.0,Normal,54.0,Normal,Organised,60.0,Medium,57.0,Press,54.0,Normal,Cover
SL Benfica,9772,2015-09-10,69.0,Fast,55.0,Normal,53.0,Mixed,Organised,65.0,Normal,66.0,Normal,54.0,Normal,Organised,60.0,Medium,57.0,Press,54.0,Normal,Cover
Birmingham City,8658,2014-09-19,56.0,Balanced,39.0,Normal,79.0,Long,Organised,77.0,Risky,71.0,Lots,56.0,Normal,Organised,42.0,Medium,48.0,Press,54.0,Normal,Cover
Birmingham City,8658,2015-09-10,56.0,Balanced,32.0,Little,75.0,Long,Organised,77.0,Risky,62.0,Normal,64.0,Normal,Organised,42.0,Medium,47.0,Press,54.0,Normal,Cover
Blackburn Rovers,8655,2014-09-19,44.0,Balanced,31.0,Little,62.0,Mixed,Organised,63.0,Normal,61.0,Normal,40.0,Normal,Organised,50.0,Medium,50.0,Press,47.0,Normal,Cover
Blackburn Rovers,8655,2015-09-10,60.0,Balanced,60.0,Normal,65.0,Mixed,Organised,59.0,Normal,58.0,Normal,42.0,Normal,Organised,50.0,Medium,50.0,Press,57.0,Normal,Cover
Blackpool,8483,2014-09-19,67.0,Fast,44.0,Normal,72.0,Long,Organised,70.0,Risky,48.0,Normal,58.0,Normal,Organised,39.0,Medium,38.0,Press,54.0,Normal,Cover
Blackpool,8483,2015-09-10,62.0,Balanced,36.0,Normal,64.0,Mixed,Organised,59.0,Normal,43.0,Normal,64.0,Normal,Organised,39.0,Medium,38.0,Press,54.0,Normal,Cover
Boavista FC,8613,2015-09-10,47.0,Balanced,56.0,Normal,50.0,Mixed,Organised,37.0,Normal,38.0,Normal,53.0,Normal,Organised,32.0,Deep,62.0,Press,54.0,Normal,Cover
VfL Bochum,9911,2014-09-19,38.0,Balanced,54.0,Normal,48.0,Mixed,Organised,51.0,Normal,54.0,Normal,36.0,Normal,Organised,34.0,Medium,53.0,Press,49.0,Normal,Cover
VfL Bochum,9911,2015-09-10,69.0,Fast,38.0,Normal,57.0,Mixed,Organised,66.0,Normal,40.0,Normal,66.0,Normal,Organised,58.0,Medium,47.0,Press,67.0,Wide,Cover
Bologna,9857,2014-09-19,63.0,Balanced,53.0,Normal,48.0,Mixed,Organised,32.0,Safe,48.0,Normal,52.0,Normal,Organised,28.0,Deep,54.0,Press,48.0,Normal,Cover
Bologna,9857,2015-09-10,63.0,Balanced,53.0,Normal,48.0,Mixed,Organised,32.0,Safe,48.0,Normal,52.0,Normal,Organised,30.0,Deep,54.0,Press,48.0,Normal,Cover
Bolton Wanderers,8559,2014-09-19,57.0,Balanced,37.0,Normal,73.0,Long,Organised,72.0,Risky,43.0,Normal,56.0,Normal,Organised,39.0,Medium,48.0,Press,58.0,Normal,Cover
Bolton Wanderers,8559,2015-09-10,57.0,Balanced,34.0,Normal,61.0,Mixed,Organised,72.0,Risky,60.0,Normal,38.0,Normal,Organised,39.0,Medium,48.0,Press,58.0,Normal,Cover
Girondins de Bordeaux,9827,2014-09-19,38.0,Balanced,49.0,Normal,36.0,Mixed,Organised,49.0,Normal,55.0,Normal,51.0,Normal,Organised,37.0,Medium,33.0,Contain,49.0,Normal,Cover
Girondins de Bordeaux,9827,2015-09-10,51.0,Balanced,40.0,Normal,48.0,Mixed,Organised,49.0,Normal,63.0,Normal,44.0,Normal,Organised,57.0,Medium,52.0,Press,49.0,Normal,Cover
Borussia Dortmund,9789,2014-09-19,76.0,Fast,33.0,Little,61.0,Mixed,Organised,53.0,Normal,44.0,Normal,73.0,Lots,Free Form,60.0,Medium,68.0,Double,43.0,Normal,Cover
Borussia Dortmund,9789,2015-09-10,71.0,Fast,37.0,Normal,40.0,Mixed,Organised,70.0,Risky,44.0,Normal,49.0,Normal,Free Form,65.0,Medium,71.0,Double,40.0,Normal,Cover
Borussia Mönchengladbach,9788,2014-09-19,31.0,Slow,53.0,Normal,32.0,Short,Organised,38.0,Normal,26.0,Little,49.0,Normal,Free Form,43.0,Medium,50.0,Press,41.0,Normal,Cover
Borussia Mönchengladbach,9788,2015-09-10,31.0,Slow,53.0,Normal,32.0,Short,Organised,38.0,Normal,26.0,Little,49.0,Normal,Free Form,41.0,Medium,48.0,Press,39.0,Normal,Cover
Bournemouth,8678,2014-09-19,47.0,Balanced,44.0,Normal,48.0,Mixed,Organised,46.0,Normal,48.0,Normal,41.0,Normal,Organised,48.0,Medium,50.0,Press,62.0,Normal,Cover
Bournemouth,8678,2015-09-10,47.0,Balanced,36.0,Normal,47.0,Mixed,Organised,49.0,Normal,45.0,Normal,47.0,Normal,Organised,48.0,Medium,50.0,Press,62.0,Normal,Cover
SC Braga,10264,2014-09-19,53.0,Balanced,35.0,Normal,55.0,Mixed,Organised,53.0,Normal,65.0,Normal,39.0,Normal,Organised,25.0,Deep,56.0,Press,39.0,Normal,Cover
SC Braga,10264,2015-09-10,55.0,Balanced,35.0,Normal,55.0,Mixed,Organised,62.0,Normal,65.0,Normal,39.0,Normal,Organised,25.0,Deep,56.0,Press,39.0,Normal,Cover
Brescia,9858,2014-09-19,42.0,Balanced,56.0,Normal,27.0,Short,Organised,54.0,Normal,25.0,Little,75.0,Lots,Organised,41.0,Medium,52.0,Press,57.0,Normal,Cover
Brescia,9858,2015-09-10,42.0,Balanced,56.0,Normal,43.0,Mixed,Organised,41.0,Normal,48.0,Normal,69.0,Lots,Organised,41.0,Medium,52.0,Press,57.0,Normal,Cover
Stade Brestois 29,8521,2014-09-19,59.0,Balanced,48.0,Normal,54.0,Mixed,Organised,49.0,Normal,53.0,Normal,66.0,Normal,Organised,44.0,Medium,34.0,Press,51.0,Normal,Cover
Stade Brestois 29,8521,2015-09-10,59.0,Balanced,48.0,Normal,54.0,Mixed,Organised,49.0,Normal,53.0,Normal,66.0,Normal,Organised,44.0,Medium,34.0,Press,51.0,Normal,Cover
Burnley,8191,2014-09-19,48.0,Balanced,32.0,Little,74.0,Long,Organised,72.0,Risky,59.0,Normal,58.0,Normal,Organised,54.0,Medium,57.0,Press,58.0,Normal,Cover
Burnley,8191,2015-09-10,54.0,Balanced,32.0,Little,67.0,Long,Organised,72.0,Risky,57.0,Normal,47.0,Normal,Organised,63.0,Medium,62.0,Press,58.0,Normal,Cover
SM Caen,7819,2014-09-19,62.0,Balanced,50.0,Normal,45.0,Mixed,Organised,48.0,Normal,54.0,Normal,53.0,Normal,Organised,43.0,Medium,42.0,Press,51.0,Normal,Cover
SM Caen,7819,2015-09-10,62.0,Balanced,50.0,Normal,45.0,Mixed,Organised,48.0,Normal,54.0,Normal,53.0,Normal,Organised,43.0,Medium,42.0,Press,51.0,Normal,Cover
Cagliari,8529,2014-09-19,63.0,Balanced,51.0,Normal,53.0,Mixed,Organised,33.0,Safe,51.0,Normal,68.0,Lots,Organised,37.0,Medium,56.0,Press,51.0,Normal,Cover
Cagliari,8529,2015-09-10,67.0,Fast,32.0,Little,35.0,Mixed,Organised,69.0,Risky,58.0,Normal,69.0,Lots,Free Form,65.0,Medium,65.0,Press,57.0,Normal,Offside Trap
SC Cambuur,7788,2014-09-19,45.0,Balanced,39.0,Normal,42.0,Mixed,Organised,46.0,Normal,56.0,Normal,57.0,Normal,Organised,42.0,Medium,49.0,Press,47.0,Normal,Cover
SC Cambuur,7788,2015-09-10,43.0,Balanced,36.0,Normal,57.0,Mixed,Organised,46.0,Normal,50.0,Normal,38.0,Normal,Organised,42.0,Medium,49.0,Press,47.0,Normal,Cover
Cardiff City,8344,2014-09-19,60.0,Balanced,29.0,Little,54.0,Mixed,Organised,52.0,Normal,46.0,Normal,41.0,Normal,Organised,33.0,Deep,41.0,Press,39.0,Normal,Cover
Cardiff City,8344,2015-09-10,60.0,Balanced,41.0,Normal,67.0,Long,Organised,52.0,Normal,56.0,Normal,46.0,Normal,Organised,33.0,Deep,41.0,Press,39.0,Normal,Cover
Carpi,208931,2014-09-19,32.0,Slow,46.0,Normal,31.0,Short,Organised,47.0,Normal,36.0,Normal,54.0,Normal,Organised,46.0,Medium,44.0,Press,51.0,Normal,Cover
Carpi,208931,2015-09-10,80.0,Fast,45.0,Normal,65.0,Mixed,Organised,70.0,Risky,40.0,Normal,50.0,Normal,Organised,25.0,Deep,55.0,Press,35.0,Normal,Cover
Catania,8530,2014-09-19,75.0,Fast,52.0,Normal,48.0,Mixed,Organised,53.0,Normal,52.0,Normal,36.0,Normal,Organised,28.0,Deep,67.0,Double,52.0,Normal,Cover
Catania,8530,2015-09-10,70.0,Fast,52.0,Normal,48.0,Mixed,Organised,53.0,Normal,52.0,Normal,36.0,Normal,Organised,31.0,Deep,64.0,Press,52.0,Normal,Cover
RC Celta de Vigo,9910,2014-09-19,53.0,Balanced,54.0,Normal,62.0,Mixed,Organised,59.0,Normal,68.0,Lots,52.0,Normal,Organised,42.0,Medium,52.0,Press,65.0,Normal,Cover
RC Celta de Vigo,9910,2015-09-10,55.0,Balanced,59.0,Normal,38.0,Mixed,Organised,41.0,Normal,48.0,Normal,50.0,Normal,Free Form,55.0,Medium,55.0,Press,59.0,Normal,Cover
Celtic,9925,2014-09-19,70.0,Fast,52.0,Normal,58.0,Mixed,Organised,55.0,Normal,61.0,Normal,62.0,Normal,Organised,51.0,Medium,54.0,Press,60.0,Normal,Cover
Celtic,9925,2015-09-10,54.0,Balanced,49.0,Normal,53.0,Mixed,Organised,51.0,Normal,51.0,Normal,62.0,Normal,Organised,58.0,Medium,55.0,Press,56.0,Normal,Cover
KSV Cercle Brugge,9984,2014-09-19,53.0,Balanced,49.0,Normal,43.0,Mixed,Organised,52.0,Normal,58.0,Normal,42.0,Normal,Organised,59.0,Medium,47.0,Press,62.0,Normal,Cover
KSV Cercle Brugge,9984,2015-09-10,53.0,Balanced,49.0,Normal,43.0,Mixed,Organised,52.0,Normal,58.0,Normal,42.0,Normal,Organised,59.0,Medium,47.0,Press,62.0,Normal,Cover
Cesena,9880,2014-09-19,73.0,Fast,29.0,Little,41.0,Mixed,Organised,53.0,Normal,44.0,Normal,73.0,Lots,Organised,39.0,Medium,49.0,Press,57.0,Normal,Cover
Cesena,9880,2015-09-10,66.0,Balanced,31.0,Little,41.0,Mixed,Organised,53.0,Normal,44.0,Normal,66.0,Normal,Organised,39.0,Medium,49.0,Press,57.0,Normal,Cover
Chelsea,8455,2014-09-19,67.0,Fast,52.0,Normal,38.0,Mixed,Organised,41.0,Normal,61.0,Normal,68.0,Lots,Organised,39.0,Medium,41.0,Press,46.0,Normal,Cover
Chelsea,8455,2015-09-10,67.0,Fast,41.0,Normal,36.0,Mixed,Organised,41.0,Normal,34.0,Normal,44.0,Normal,Organised,39.0,Medium,41.0,Press,46.0,Normal,Cover
Chievo Verona,8533,2014-09-19,66.0,Balanced,54.0,Normal,67.0,Long,Organised,52.0,Normal,66.0,Normal,52.0,Normal,Organised,46.0,Medium,59.0,Press,51.0,Normal,Cover
Chievo Verona,8533,2015-09-10,66.0,Balanced,54.0,Normal,67.0,Long,Organised,52.0,Normal,66.0,Normal,52.0,Normal,Organised,46.0,Medium,59.0,Press,51.0,Normal,Cover
Club Brugge KV,8342,2014-09-19,42.0,Balanced,52.0,Normal,45.0,Mixed,Organised,42.0,Normal,57.0,Normal,47.0,Normal,Organised,51.0,Medium,50.0,Press,57.0,Normal,Cover
Club Brugge KV,8342,2015-09-10,42.0,Balanced,52.0,Normal,45.0,Mixed,Organised,42.0,Normal,57.0,Normal,47.0,Normal,Organised,51.0,Medium,50.0,Press,57.0,Normal,Cover
Córdoba CF,7869,2014-09-19,40.0,Balanced,53.0,Normal,53.0,Mixed,Organised,40.0,Normal,66.0,Normal,48.0,Normal,Organised,36.0,Medium,41.0,Press,52.0,Normal,Cover
Córdoba CF,7869,2015-09-10,53.0,Balanced,40.0,Normal,48.0,Mixed,Organised,55.0,Normal,59.0,Normal,57.0,Normal,Organised,38.0,Medium,39.0,Press,52.0,Normal,Cover
Cracovia,2186,2014-09-19,37.0,Balanced,50.0,Normal,38.0,Mixed,Organised,66.0,Normal,66.0,Normal,33.0,Little,Organised,59.0,Medium,34.0,Press,64.0,Normal,Cover
Cracovia,2186,2015-09-10,37.0,Balanced,50.0,Normal,38.0,Mixed,Organised,66.0,Normal,66.0,Normal,33.0,Little,Organised,59.0,Medium,34.0,Press,64.0,Normal,Cover
Crystal Palace,9826,2014-09-19,61.0,Balanced,36.0,Normal,68.0,Long,Organised,67.0,Risky,62.0,Normal,52.0,Normal,Organised,36.0,Medium,34.0,Press,48.0,Normal,Cover
Crystal Palace,9826,2015-09-10,61.0,Balanced,45.0,Normal,67.0,Long,Organised,67.0,Risky,69.0,Lots,50.0,Normal,Organised,36.0,Medium,34.0,Press,41.0,Normal,Cover
SV Darmstadt 98,8262,2015-09-10,59.0,Balanced,43.0,Normal,77.0,Long,Organised,52.0,Normal,77.0,Lots,45.0,Normal,Organised,32.0,Deep,56.0,Press,41.0,Normal,Cover
RC Deportivo de La Coruña,9783,2014-09-19,56.0,Balanced,55.0,Normal,46.0,Mixed,Organised,38.0,Normal,52.0,Normal,68.0,Lots,Organised,45.0,Medium,50.0,Press,59.0,Normal,Cover
RC Deportivo de La Coruña,9783,2015-09-10,53.0,Balanced,55.0,Normal,47.0,Mixed,Organised,38.0,Normal,52.0,Normal,55.0,Normal,Organised,45.0,Medium,50.0,Press,59.0,Normal,Offside Trap
Dijon FCO,9836,2014-09-19,51.0,Balanced,54.0,Normal,49.0,Mixed,Organised,49.0,Normal,52.0,Normal,52.0,Normal,Organised,45.0,Medium,46.0,Press,58.0,Normal,Cover
