team_long_name,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
Dijon FCO,9836,2015-09-10,51.0,Balanced,54.0,Normal,49.0,Mixed,Organised,49.0,Normal,52.0,Normal,52.0,Normal,Organised,45.0,Medium,46.0,Press,58.0,Normal,Cover
Dundee FC,8284,2015-09-10,47.0,Balanced,47.0,Normal,48.0,Mixed,Organised,32.0,Safe,61.0,Normal,65.0,Normal,Organised,50.0,Medium,44.0,Press,52.0,Normal,Cover
Dundee United,9938,2014-09-19,60.0,Balanced,51.0,Normal,60.0,Mixed,Organised,52.0,Normal,55.0,Normal,38.0,Normal,Organised,41.0,Medium,40.0,Press,52.0,Normal,Cover
Dundee United,9938,2015-09-10,60.0,Balanced,58.0,Normal,53.0,Mixed,Organised,55.0,Normal,49.0,Normal,45.0,Normal,Organised,48.0,Medium,42.0,Press,53.0,Normal,Cover
SD Eibar,8372,2014-09-19,62.0,Balanced,51.0,Normal,52.0,Mixed,Organised,60.0,Normal,55.0,Normal,64.0,Normal,Organised,37.0,Medium,56.0,Press,49.0,Normal,Cover
SD Eibar,8372,2015-09-10,62.0,Balanced,51.0,Normal,52.0,Mixed,Organised,59.0,Normal,55.0,Normal,52.0,Normal,Organised,37.0,Medium,56.0,Press,49.0,Normal,Cover
Eintracht Braunschweig,9776,2014-09-19,61.0,Balanced,60.0,Normal,62.0,Mixed,Organised,59.0,Normal,43.0,Normal,55.0,Normal,Organised,30.0,Deep,40.0,Press,39.0,Normal,Cover
Eintracht Braunschweig,9776,2015-09-10,66.0,Balanced,44.0,Normal,54.0,Mixed,Organised,62.0,Normal,59.0,Normal,51.0,Normal,Free Form,57.0,Medium,47.0,Press,53.0,Normal,Cover
Eintracht Frankfurt,9810,2014-09-19,63.0,Balanced,48.0,Normal,42.0,Mixed,Organised,57.0,Normal,50.0,Normal,52.0,Normal,Organised,43.0,Medium,46.0,Press,55.0,Normal,Cover
Eintracht Frankfurt,9810,2015-09-10,51.0,Balanced,41.0,Normal,38.0,Mixed,Organised,47.0,Normal,58.0,Normal,40.0,Normal,Organised,48.0,Medium,42.0,Press,55.0,Normal,Cover
Elche CF,10268,2014-09-19,55.0,Balanced,47.0,Normal,69.0,Long,Organised,53.0,Normal,54.0,Normal,57.0,Normal,Organised,49.0,Medium,51.0,Press,58.0,Normal,Cover
Elche CF,10268,2015-09-10,51.0,Balanced,52.0,Normal,48.0,Mixed,Organised,53.0,Normal,54.0,Normal,57.0,Normal,Organised,49.0,Medium,51.0,Press,58.0,Normal,Cover
Empoli,8534,2014-09-19,63.0,Balanced,43.0,Normal,39.0,Mixed,Organised,66.0,Normal,67.0,Lots,51.0,Normal,Organised,53.0,Medium,57.0,Press,54.0,Normal,Cover
Empoli,8534,2015-09-10,66.0,Balanced,43.0,Normal,36.0,Mixed,Organised,59.0,Normal,64.0,Normal,63.0,Normal,Organised,46.0,Medium,66.0,Press,48.0,Normal,Cover
FC Energie Cottbus,8398,2014-09-19,39.0,Balanced,47.0,Normal,40.0,Mixed,Organised,52.0,Normal,67.0,Lots,56.0,Normal,Organised,47.0,Medium,55.0,Press,52.0,Normal,Cover
RCD Espanyol,8558,2014-09-19,50.0,Balanced,52.0,Normal,44.0,Mixed,Organised,52.0,Normal,60.0,Normal,40.0,Normal,Organised,37.0,Medium,40.0,Press,45.0,Normal,Cover
RCD Espanyol,8558,2015-09-10,50.0,Balanced,52.0,Normal,44.0,Mixed,Organised,52.0,Normal,60.0,Normal,40.0,Normal,Free Form,37.0,Medium,40.0,Press,45.0,Normal,Cover
Estoril Praia,7842,2014-09-19,66.0,Balanced,56.0,Normal,52.0,Mixed,Organised,47.0,Normal,53.0,Normal,39.0,Normal,Organised,46.0,Medium,49.0,Press,55.0,Normal,Cover
Estoril Praia,7842,2015-09-10,59.0,Balanced,56.0,Normal,52.0,Mixed,Organised,47.0,Normal,53.0,Normal,39.0,Normal,Organised,46.0,Medium,49.0,Press,55.0,Normal,Cover
Everton,8668,2014-09-19,61.0,Balanced,34.0,Normal,42.0,Mixed,Organised,39.0,Normal,59.0,Normal,48.0,Normal,Organised,52.0,Medium,58.0,Press,60.0,Normal,Cover
Everton,8668,2015-09-10,43.0,Balanced,45.0,Normal,40.0,Mixed,Organised,39.0,Normal,33.0,Little,63.0,Normal,Organised,52.0,Medium,58.0,Press,59.0,Normal,Cover
Évian Thonon Gaillard FC,4087,2014-09-19,61.0,Balanced,51.0,Normal,44.0,Mixed,Organised,52.0,Normal,61.0,Normal,48.0,Normal,Organised,47.0,Medium,56.0,Press,50.0,Normal,Cover
Évian Thonon Gaillard FC,4087,2015-09-10,58.0,Balanced,35.0,Normal,56.0,Mixed,Organised,52.0,Normal,61.0,Normal,51.0,Normal,Organised,47.0,Medium,43.0,Press,50.0,Normal,Cover
Excelsior,10218,2015-09-10,53.0,Balanced,41.0,Normal,69.0,Long,Organised,48.0,Normal,45.0,Normal,43.0,Normal,Organised,29.0,Deep,41.0,Press,36.0,Normal,Cover
1. FC Köln,8722,2014-09-19,59.0,Balanced,53.0,Normal,57.0,Mixed,Organised,53.0,Normal,47.0,Normal,59.0,Normal,Organised,57.0,Medium,46.0,Press,54.0,Normal,Cover
1. FC Köln,8722,2015-09-10,59.0,Balanced,47.0,Normal,65.0,Mixed,Organised,57.0,Normal,36.0,Normal,71.0,Lots,Organised,42.0,Medium,56.0,Press,51.0,Normal,Cover
FC Dordrecht,6631,2015-09-10,39.0,Balanced,33.0,Little,62.0,Mixed,Organised,62.0,Normal,66.0,Normal,48.0,Normal,Organised,51.0,Medium,58.0,Press,55.0,Normal,Cover
FC Groningen,8674,2014-09-19,48.0,Balanced,42.0,Normal,38.0,Mixed,Organised,57.0,Normal,59.0,Normal,45.0,Normal,Organised,49.0,Medium,47.0,Press,53.0,Normal,Cover
FC Groningen,8674,2015-09-10,55.0,Balanced,32.0,Little,55.0,Mixed,Organised,57.0,Normal,59.0,Normal,54.0,Normal,Organised,49.0,Medium,47.0,Press,53.0,Normal,Cover
FC Porto,9773,2014-09-19,52.0,Balanced,50.0,Normal,53.0,Mixed,Organised,56.0,Normal,66.0,Normal,68.0,Lots,Organised,58.0,Medium,60.0,Press,60.0,Normal,Cover
FC Porto,9773,2015-09-10,70.0,Fast,50.0,Normal,53.0,Mixed,Organised,56.0,Normal,66.0,Normal,68.0,Lots,Organised,58.0,Medium,60.0,Press,60.0,Normal,Cover
FC Utrecht,9908,2014-09-19,50.0,Balanced,50.0,Normal,52.0,Mixed,Organised,55.0,Normal,49.0,Normal,52.0,Normal,Organised,45.0,Medium,49.0,Press,47.0,Normal,Cover
FC Utrecht,9908,2015-09-10,50.0,Balanced,39.0,Normal,54.0,Mixed,Organised,55.0,Normal,64.0,Normal,28.0,Little,Organised,54.0,Medium,58.0,Press,47.0,Normal,Cover
FC Vaduz,9824,2015-09-10,53.0,Balanced,32.0,Little,56.0,Mixed,Organised,38.0,Normal,53.0,Normal,46.0,Normal,Organised,42.0,Medium,33.0,Contain,58.0,Normal,Cover
FC Zürich,10243,2014-09-19,62.0,Balanced,49.0,Normal,46.0,Mixed,Organised,47.0,Normal,50.0,Normal,54.0,Normal,Organised,47.0,Medium,43.0,Press,56.0,Normal,Cover
FC Zürich,10243,2015-09-10,62.0,Balanced,49.0,Normal,46.0,Mixed,Organised,47.0,Normal,50.0,Normal,54.0,Normal,Organised,47.0,Medium,43.0,Press,56.0,Normal,Cover
Feyenoord,10235,2014-09-19,54.0,Balanced,40.0,Normal,60.0,Mixed,Organised,48.0,Normal,67.0,Lots,50.0,Normal,Organised,43.0,Medium,43.0,Press,40.0,Normal,Cover
Feyenoord,10235,2015-09-10,50.0,Balanced,33.0,Little,48.0,Mixed,Organised,48.0,Normal,67.0,Lots,31.0,Little,Organised,43.0,Medium,46.0,Press,40.0,Normal,Cover
Fiorentina,8535,2014-09-19,34.0,Balanced,54.0,Normal,33.0,Short,Organised,68.0,Risky,51.0,Normal,53.0,Normal,Organised,58.0,Medium,59.0,Press,67.0,Wide,Cover
Fiorentina,8535,2015-09-10,34.0,Balanced,54.0,Normal,33.0,Short,Organised,68.0,Risky,51.0,Normal,53.0,Normal,Organised,58.0,Medium,59.0,Press,61.0,Normal,Cover
Fortuna Düsseldorf,8194,2014-09-19,72.0,Fast,69.0,Lots,57.0,Mixed,Organised,55.0,Normal,49.0,Normal,37.0,Normal,Organised,47.0,Medium,48.0,Press,50.0,Normal,Cover
Fortuna Düsseldorf,8194,2015-09-10,47.0,Balanced,62.0,Normal,47.0,Mixed,Organised,55.0,Normal,68.0,Lots,55.0,Normal,Organised,56.0,Medium,57.0,Press,52.0,Normal,Cover
SC Freiburg,8358,2014-09-19,39.0,Balanced,58.0,Normal,48.0,Mixed,Organised,55.0,Normal,33.0,Little,44.0,Normal,Free Form,59.0,Medium,60.0,Press,39.0,Normal,Cover
SC Freiburg,8358,2015-09-10,59.0,Balanced,54.0,Normal,38.0,Mixed,Organised,55.0,Normal,44.0,Normal,45.0,Normal,Free Form,53.0,Medium,62.0,Press,29.0,Narrow,Cover
Frosinone,9891,2015-09-10,63.0,Balanced,48.0,Normal,46.0,Mixed,Organised,51.0,Normal,50.0,Normal,50.0,Normal,Organised,55.0,Medium,57.0,Press,47.0,Normal,Cover
Fulham,9879,2014-09-19,52.0,Balanced,34.0,Normal,56.0,Mixed,Organised,58.0,Normal,41.0,Normal,54.0,Normal,Organised,29.0,Deep,28.0,Contain,39.0,Normal,Cover
Fulham,9879,2015-09-10,52.0,Balanced,34.0,Normal,48.0,Mixed,Organised,39.0,Normal,54.0,Normal,59.0,Normal,Organised,29.0,Deep,30.0,Contain,39.0,Normal,Cover
KRC Genk,9987,2014-09-19,58.0,Balanced,52.0,Normal,38.0,Mixed,Organised,67.0,Risky,48.0,Normal,56.0,Normal,Organised,47.0,Medium,45.0,Press,55.0,Normal,Cover
KRC Genk,9987,2015-09-10,58.0,Balanced,52.0,Normal,38.0,Mixed,Organised,30.0,Safe,69.0,Lots,56.0,Normal,Organised,36.0,Medium,57.0,Press,70.0,Wide,Cover
Genoa,10233,2014-09-19,64.0,Balanced,52.0,Normal,68.0,Long,Organised,66.0,Normal,53.0,Normal,49.0,Normal,Organised,23.0,Deep,47.0,Press,53.0,Normal,Cover
Genoa,10233,2015-09-10,64.0,Balanced,52.0,Normal,68.0,Long,Organised,66.0,Normal,45.0,Normal,23.0,Little,Organised,27.0,Deep,47.0,Press,53.0,Normal,Cover
KAA Gent,9991,2014-09-19,50.0,Balanced,55.0,Normal,37.0,Mixed,Organised,28.0,Safe,66.0,Normal,34.0,Normal,Organised,55.0,Medium,59.0,Press,52.0,Normal,Cover
KAA Gent,9991,2015-09-10,50.0,Balanced,55.0,Normal,37.0,Mixed,Organised,42.0,Normal,66.0,Normal,34.0,Normal,Organised,49.0,Medium,54.0,Press,52.0,Normal,Cover
Getafe CF,8305,2014-09-19,35.0,Balanced,42.0,Normal,40.0,Mixed,Organised,58.0,Normal,42.0,Normal,52.0,Normal,Organised,49.0,Medium,45.0,Press,47.0,Normal,Cover
Getafe CF,8305,2015-09-10,34.0,Balanced,41.0,Normal,38.0,Mixed,Organised,55.0,Normal,39.0,Normal,49.0,Normal,Organised,43.0,Medium,42.0,Press,49.0,Normal,Cover
GFC Ajaccio,6391,2015-09-10,48.0,Balanced,53.0,Normal,52.0,Mixed,Organised,55.0,Normal,53.0,Normal,55.0,Normal,Organised,42.0,Medium,46.0,Press,53.0,Normal,Cover
Gil Vicente FC,9764,2014-09-19,65.0,Balanced,67.0,Lots,41.0,Mixed,Organised,54.0,Normal,47.0,Normal,46.0,Normal,Free Form,39.0,Medium,40.0,Press,53.0,Normal,Cover
Gil Vicente FC,9764,2015-09-10,68.0,Fast,67.0,Lots,41.0,Mixed,Organised,54.0,Normal,47.0,Normal,46.0,Normal,Free Form,39.0,Medium,40.0,Press,53.0,Normal,Cover
GKS Bełchatów,8569,2015-09-10,52.0,Balanced,48.0,Normal,43.0,Mixed,Organised,52.0,Normal,37.0,Normal,50.0,Normal,Organised,47.0,Medium,45.0,Press,40.0,Normal,Cover
Go Ahead Eagles,6433,2014-09-19,55.0,Balanced,47.0,Normal,42.0,Mixed,Organised,37.0,Normal,42.0,Normal,53.0,Normal,Organised,43.0,Medium,47.0,Press,51.0,Normal,Cover
Go Ahead Eagles,6433,2015-09-10,58.0,Balanced,38.0,Normal,64.0,Mixed,Organised,37.0,Normal,42.0,Normal,52.0,Normal,Organised,43.0,Medium,47.0,Press,51.0,Normal,Cover
Górnik Łęczna,8019,2015-09-10,41.0,Balanced,40.0,Normal,59.0,Mixed,Organised,41.0,Normal,44.0,Normal,54.0,Normal,Organised,52.0,Medium,47.0,Press,50.0,Normal,Cover
Granada CF,7878,2014-09-19,52.0,Balanced,62.0,Normal,37.0,Mixed,Organised,67.0,Risky,68.0,Lots,52.0,Normal,Organised,49.0,Medium,45.0,Press,64.0,Normal,Cover
Granada CF,7878,2015-09-10,57.0,Balanced,50.0,Normal,59.0,Mixed,Organised,61.0,Normal,63.0,Normal,51.0,Normal,Organised,48.0,Medium,45.0,Press,62.0,Normal,Cover
Grasshopper Club Zürich,9956,2014-09-19,50.0,Balanced,60.0,Normal,54.0,Mixed,Organised,52.0,Normal,54.0,Normal,46.0,Normal,Organised,36.0,Medium,43.0,Press,47.0,Normal,Cover
Grasshopper Club Zürich,9956,2015-09-10,50.0,Balanced,60.0,Normal,54.0,Mixed,Organised,52.0,Normal,54.0,Normal,46.0,Normal,Organised,36.0,Medium,43.0,Press,47.0,Normal,Cover
SpVgg Greuther Fürth,8357,2014-09-19,66.0,Balanced,60.0,Normal,38.0,Mixed,Organised,56.0,Normal,40.0,Normal,52.0,Normal,Organised,49.0,Medium,48.0,Press,62.0,Normal,Cover
SpVgg Greuther Fürth,8357,2015-09-10,54.0,Balanced,60.0,Normal,53.0,Mixed,Organised,54.0,Normal,49.0,Normal,46.0,Normal,Organised,48.0,Medium,56.0,Press,66.0,Normal,Cover
En Avant de Guingamp,9747,2014-09-19,63.0,Balanced,58.0,Normal,48.0,Mixed,Organised,53.0,Normal,49.0,Normal,48.0,Normal,Organised,43.0,Medium,47.0,Press,49.0,Normal,Cover
En Avant de Guingamp,9747,2015-09-10,63.0,Balanced,37.0,Normal,58.0,Mixed,Organised,42.0,Normal,56.0,Normal,36.0,Normal,Organised,49.0,Medium,47.0,Press,49.0,Normal,Cover
Hamburger SV,9790,2014-09-19,45.0,Balanced,61.0,Normal,58.0,Mixed,Organised,60.0,Normal,73.0,Lots,62.0,Normal,Organised,45.0,Medium,32.0,Contain,63.0,Normal,Cover
Hamburger SV,9790,2015-09-10,42.0,Balanced,56.0,Normal,52.0,Mixed,Organised,62.0,Normal,58.0,Normal,47.0,Normal,Organised,44.0,Medium,41.0,Press,49.0,Normal,Cover
Hamilton Academical FC,8429,2015-09-10,48.0,Balanced,48.0,Normal,47.0,Mixed,Free Form,73.0,Risky,53.0,Normal,71.0,Lots,Organised,55.0,Medium,48.0,Press,52.0,Normal,Cover
Hannover 96,9904,2014-09-19,48.0,Balanced,55.0,Normal,38.0,Mixed,Organised,38.0,Normal,51.0,Normal,40.0,Normal,Organised,37.0,Medium,48.0,Press,56.0,Normal,Cover
Hannover 96,9904,2015-09-10,48.0,Balanced,55.0,Normal,41.0,Mixed,Organised,38.0,Normal,51.0,Normal,40.0,Normal,Organised,35.0,Medium,50.0,Press,61.0,Normal,Cover
Heart of Midlothian,9860,2014-09-19,55.0,Balanced,51.0,Normal,62.0,Mixed,Organised,55.0,Normal,61.0,Normal,60.0,Normal,Organised,49.0,Medium,52.0,Press,57.0,Normal,Cover
Heracles Almelo,9791,2014-09-19,46.0,Balanced,55.0,Normal,32.0,Short,Organised,48.0,Normal,58.0,Normal,59.0,Normal,Organised,60.0,Medium,62.0,Press,47.0,Normal,Cover
Heracles Almelo,9791,2015-09-10,50.0,Balanced,36.0,Normal,61.0,Mixed,Organised,48.0,Normal,58.0,Normal,59.0,Normal,Organised,60.0,Medium,62.0,Press,47.0,Normal,Cover
Hércules Club de Fútbol,10278,2014-09-19,53.0,Balanced,47.0,Normal,54.0,Mixed,Organised,60.0,Normal,58.0,Normal,60.0,Normal,Organised,50.0,Medium,52.0,Press,58.0,Normal,Cover
Hertha BSC Berlin,8177,2014-09-19,68.0,Fast,52.0,Normal,55.0,Mixed,Organised,51.0,Normal,59.0,Normal,59.0,Normal,Organised,41.0,Medium,60.0,Press,51.0,Normal,Cover
Hertha BSC Berlin,8177,2015-09-10,47.0,Balanced,44.0,Normal,55.0,Mixed,Organised,59.0,Normal,68.0,Lots,45.0,Normal,Organised,50.0,Medium,45.0,Press,57.0,Normal,Cover
Hibernian,10251,2014-09-19,55.0,Balanced,49.0,Normal,44.0,Mixed,Organised,47.0,Normal,43.0,Normal,49.0,Normal,Organised,43.0,Medium,41.0,Press,40.0,Normal,Cover
TSG 1899 Hoffenheim,8226,2014-09-19,68.0,Fast,49.0,Normal,63.0,Mixed,Organised,68.0,Risky,38.0,Normal,55.0,Normal,Free Form,56.0,Medium,57.0,Press,54.0,Normal,Cover
TSG 1899 Hoffenheim,8226,2015-09-10,69.0,Fast,49.0,Normal,53.0,Mixed,Organised,66.0,Normal,62.0,Normal,59.0,Normal,Organised,63.0,Medium,61.0,Press,38.0,Normal,Cover
Hull City,8667,2014-09-19,56.0,Balanced,35.0,Normal,51.0,Mixed,Organised,54.0,Normal,60.0,Normal,48.0,Normal,Organised,38.0,Medium,37.0,Press,46.0,Normal,Cover
Hull City,8667,2015-09-10,56.0,Balanced,40.0,Normal,55.0,Mixed,Organised,54.0,Normal,49.0,Normal,56.0,Normal,Organised,38.0,Medium,37.0,Press,46.0,Normal,Cover
FC Ingolstadt 04,8234,2014-09-19,54.0,Balanced,59.0,Normal,47.0,Mixed,Organised,53.0,Normal,33.0,Little,52.0,Normal,Organised,42.0,Medium,36.0,Press,49.0,Normal,Cover
FC Ingolstadt 04,8234,2015-09-10,55.0,Balanced,51.0,Normal,46.0,Mixed,Organised,47.0,Normal,53.0,Normal,51.0,Normal,Organised,37.0,Medium,48.0,Press,49.0,Normal,Cover
Inter,8636,2014-09-19,67.0,Fast,48.0,Normal,67.0,Long,Organised,68.0,Risky,69.0,Lots,66.0,Normal,Organised,23.0,Deep,57.0,Press,34.0,Normal,Cover
Inter,8636,2015-09-10,58.0,Balanced,69.0,Lots,54.0,Mixed,Organised,56.0,Normal,60.0,Normal,53.0,Normal,Organised,47.0,Medium,49.0,Press,63.0,Normal,Cover
Inverness Caledonian Thistle,8066,2014-09-19,61.0,Balanced,49.0,Normal,59.0,Mixed,Organised,50.0,Normal,57.0,Normal,55.0,Normal,Organised,43.0,Medium,41.0,Press,46.0,Normal,Cover
Inverness Caledonian Thistle,8066,2015-09-10,48.0,Balanced,47.0,Normal,32.0,Short,Organised,57.0,Normal,48.0,Normal,69.0,Lots,Free Form,44.0,Medium,44.0,Press,51.0,Normal,Cover
Jagiellonia Białystok,1957,2014-09-19,38.0,Balanced,54.0,Normal,38.0,Mixed,Organised,53.0,Normal,27.0,Little,66.0,Normal,Organised,57.0,Medium,56.0,Press,49.0,Normal,Cover
Jagiellonia Białystok,1957,2015-09-10,66.0,Balanced,54.0,Normal,38.0,Mixed,Organised,53.0,Normal,33.0,Little,66.0,Normal,Organised,57.0,Medium,56.0,Press,49.0,Normal,Cover
Juventus,9885,2014-09-19,26.0,Slow,47.0,Normal,24.0,Short,Organised,64.0,Normal,53.0,Normal,72.0,Lots,Organised,23.0,Deep,67.0,Double,36.0,Normal,Cover
Juventus,9885,2015-09-10,50.0,Balanced,35.0,Normal,20.0,Short,Organised,65.0,Normal,50.0,Normal,80.0,Lots,Organised,35.0,Medium,65.0,Press,35.0,Normal,Cover
1. FC Kaiserslautern,8350,2014-09-19,66.0,Balanced,48.0,Normal,53.0,Mixed,Organised,54.0,Normal,69.0,Lots,51.0,Normal,Organised,47.0,Medium,47.0,Press,49.0,Normal,Cover
1. FC Kaiserslautern,8350,2015-09-10,49.0,Balanced,54.0,Normal,52.0,Mixed,Organised,49.0,Normal,54.0,Normal,64.0,Normal,Organised,41.0,Medium,51.0,Press,53.0,Normal,Cover
Karlsruher SC,8295,2014-09-19,56.0,Balanced,55.0,Normal,53.0,Mixed,Organised,53.0,Normal,46.0,Normal,49.0,Normal,Organised,32.0,Deep,46.0,Press,37.0,Normal,Cover
Karlsruher SC,8295,2015-09-10,54.0,Balanced,52.0,Normal,47.0,Mixed,Organised,53.0,Normal,44.0,Normal,49.0,Normal,Organised,34.0,Medium,46.0,Press,39.0,Normal,Cover
Kilmarnock,8597,2014-09-19,56.0,Balanced,50.0,Normal,61.0,Mixed,Organised,56.0,Normal,48.0,Normal,46.0,Normal,Organised,44.0,Medium,44.0,Press,52.0,Normal,Cover
Kilmarnock,8597,2015-09-10,50.0,Balanced,48.0,Normal,60.0,Mixed,Organised,49.0,Normal,62.0,Normal,47.0,Normal,Organised,46.0,Medium,46.0,Press,52.0,Normal,Cover
Korona Kielce,8245,2014-09-19,73.0,Fast,69.0,Lots,50.0,Mixed,Organised,64.0,Normal,53.0,Normal,36.0,Normal,Organised,30.0,Deep,43.0,Press,62.0,Normal,Cover
Korona Kielce,8245,2015-09-10,59.0,Balanced,69.0,Lots,50.0,Mixed,Organised,64.0,Normal,53.0,Normal,36.0,Normal,Organised,30.0,Deep,43.0,Press,62.0,Normal,Cover
KV Kortrijk,8571,2014-09-19,42.0,Balanced,40.0,Normal,47.0,Mixed,Organised,37.0,Normal,67.0,Lots,30.0,Little,Organised,46.0,Medium,45.0,Press,52.0,Normal,Cover
KV Kortrijk,8571,2015-09-10,42.0,Balanced,40.0,Normal,47.0,Mixed,Organised,37.0,Normal,67.0,Lots,30.0,Little,Organised,46.0,Medium,45.0,Press,52.0,Normal,Cover
KV Mechelen,8203,2014-09-19,52.0,Balanced,42.0,Normal,40.0,Mixed,Organised,47.0,Normal,53.0,Normal,50.0,Normal,Organised,42.0,Medium,51.0,Press,52.0,Normal,Cover
KV Mechelen,8203,2015-09-10,52.0,Balanced,42.0,Normal,40.0,Mixed,Organised,47.0,Normal,53.0,Normal,50.0,Normal,Organised,42.0,Medium,51.0,Press,52.0,Normal,Cover
UD Las Palmas,8306,2014-09-19,48.0,Balanced,55.0,Normal,44.0,Mixed,Organised,53.0,Normal,42.0,Normal,53.0,Normal,Organised,53.0,Medium,39.0,Press,57.0,Normal,Cover
UD Las Palmas,8306,2015-09-10,48.0,Balanced,55.0,Normal,44.0,Mixed,Organised,53.0,Normal,42.0,Normal,53.0,Normal,Organised,53.0,Medium,39.0,Press,57.0,Normal,Cover
FC Lausanne-Sports,7730,2014-09-19,37.0,Balanced,55.0,Normal,49.0,Mixed,Organised,52.0,Normal,60.0,Normal,52.0,Normal,Organised,46.0,Medium,44.0,Press,55.0,Normal,Cover
Lazio,8543,2014-09-19,49.0,Balanced,69.0,Lots,54.0,Mixed,Organised,68.0,Risky,63.0,Normal,69.0,Lots,Organised,59.0,Medium,53.0,Press,54.0,Normal,Cover
Lazio,8543,2015-09-10,68.0,Fast,65.0,Normal,55.0,Mixed,Organised,68.0,Risky,80.0,Lots,72.0,Lots,Free Form,59.0,Medium,66.0,Press,65.0,Normal,Cover
Le Havre AC,9746,2014-09-19,46.0,Balanced,56.0,Normal,52.0,Mixed,Organised,49.0,Normal,54.0,Normal,52.0,Normal,Organised,47.0,Medium,55.0,Press,52.0,Normal,Cover
Le Havre AC,9746,2015-09-10,46.0,Balanced,56.0,Normal,52.0,Mixed,Organised,49.0,Normal,54.0,Normal,52.0,Normal,Organised,47.0,Medium,55.0,Press,52.0,Normal,Cover
Lech Poznań,2182,2014-09-19,67.0,Fast,55.0,Normal,54.0,Mixed,Organised,56.0,Normal,62.0,Normal,67.0,Lots,Organised,47.0,Medium,47.0,Press,63.0,Normal,Cover
Lech Poznań,2182,2015-09-10,57.0,Balanced,50.0,Normal,40.0,Mixed,Free Form,59.0,Normal,70.0,Lots,67.0,Lots,Free Form,50.0,Medium,58.0,Press,45.0,Normal,Cover
Lechia Gdańsk,8030,2014-09-19,62.0,Balanced,48.0,Normal,52.0,Mixed,Organised,50.0,Normal,63.0,Normal,52.0,Normal,Organised,37.0,Medium,58.0,Press,63.0,Normal,Cover
Lechia Gdańsk,8030,2015-09-10,62.0,Balanced,48.0,Normal,52.0,Mixed,Free Form,66.0,Normal,59.0,Normal,58.0,Normal,Organised,51.0,Medium,58.0,Press,40.0,Normal,Cover
Legia Warszawa,8673,2014-09-19,54.0,Balanced,51.0,Normal,36.0,Mixed,Free Form,52.0,Normal,51.0,Normal,64.0,Normal,Organised,47.0,Medium,46.0,Press,66.0,Normal,Cover
Legia Warszawa,8673,2015-09-10,54.0,Balanced,47.0,Normal,36.0,Mixed,Organised,52.0,Normal,51.0,Normal,64.0,Normal,Free Form,50.0,Medium,60.0,Press,58.0,Normal,Cover
Leicester City,8197,2014-09-19,63.0,Balanced,36.0,Normal,48.0,Mixed,Organised,47.0,Normal,62.0,Normal,69.0,Lots,Organised,58.0,Medium,62.0,Press,54.0,Normal,Cover
Leicester City,8197,2015-09-10,63.0,Balanced,41.0,Normal,60.0,Mixed,Organised,47.0,Normal,64.0,Normal,46.0,Normal,Organised,58.0,Medium,65.0,Press,55.0,Normal,Cover
